call_id,city,state,category,subcategory,total_seconds,resolution,transcript
C271819083,Bellevue,WA,Plans & Features,Hotspot Issues,402,Goodwill credit issued,"Agent (Riley): Thanks for calling T-Mobile, this is Riley. How can I help you today?
Customer: Hi, I'm calling from Bellevue, WA. Hotspot disconnects frequently.
Agent (Riley): Thanks for the details. I'll run diagnostics on your line.
Agent (Riley): I'm checking logs and applying updates on my end.
Agent (Riley): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Riley): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Riley): You're all set. Anything else I can do for you today?
Customer: Thanks, that fixed it."
C220741595,Fargo,ND,Network & Coverage,Dropped Calls,1416,Pending vendor response,"Agent (Morgan): Hi, Morgan here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from Fargo, ND. Calls drop after a couple minutes.
Agent (Morgan): I'll walk you through an eSIM reactivation.
Agent (Morgan): I'm checking logs and applying updates on my end.
Agent (Morgan): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Morgan): Your ticket is in progress; thanks for your patience.
Customer: Okay, I'll wait for the update."
C002529971,Richmond,VA,Network & Coverage,Dropped Calls,1165,Escalated to Tier 2,"Agent (Reese): You're speaking with Reese from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Richmond, VA. Every call with my mom disconnects.
Agent (Reese): I'll walk you through an eSIM reactivation.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Reese): I'm checking logs and applying updates on my end.
Agent (Reese): I'm checking logs and applying updates on my end.
Agent (Reese): I'm checking logs and applying updates on my end.
Agent (Reese): I’ve scheduled a callback for tomorrow to confirm.
Customer: Okay, I'll wait for the update."
C213901227,Charlotte,NC,Billing & Payments,Promo Not Applied,609,Resolved on first call,"Agent (Sam): Thanks for calling T-Mobile, this is Sam. How can I help you today?
Customer: Hi, I'm calling from Charlotte, NC. My bill doesn't reflect the advertised discount.
Agent (Sam): Thanks for the details. I'll run diagnostics on your line.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Sam): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Sam): I'm checking logs and applying updates on my end.
Agent (Sam): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it."
C948619794,Washington,DC,Network & Coverage,Dropped Calls,1099,Resolved on first call,"Agent (Hayden): Thanks for calling T-Mobile, this is Hayden. How can I help you today?
Customer: Hi, I'm calling from Washington, DC. Calls drop after a couple minutes.
Agent (Hayden): I see the issue. I'll file a ticket and apply a credit.
Agent (Hayden): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Hayden): I'm checking logs and applying updates on my end.
Agent (Hayden): You're all set. Anything else I can do for you today?
Customer: Thanks, that fixed it."
C630493087,Charlotte,NC,Account & App,eSIM/SIM,172,Goodwill credit issued,"Agent (Cameron): You're speaking with Cameron from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Charlotte, NC. SIM not recognized after update.
Agent (Cameron): I see the issue. I'll file a ticket and apply a credit.
Customer: That makes sense. What should I try next?
Agent (Cameron): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Cameron): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Cameron): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it."
C567510215,Austin,TX,Network & Coverage,No Service,795,Resolved on first call,"Agent (Reese): Thanks for calling T-Mobile, this is Reese. How can I help you today?
Customer: Hi, I'm calling from Austin, TX. My phone shows no bars at home.
Agent (Reese): Thanks for the details. I'll run diagnostics on your line.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Reese): We’ve applied the fix—thanks for your patience!
Customer: Thanks, that fixed it."
C142296010,Bellevue,WA,Account & App,Login Issues,298,Replacement device shipped,"Agent (Jordan): You're speaking with Jordan from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Bellevue, WA. Locked out of my account.
Agent (Jordan): Thanks for the details. I'll run diagnostics on your line.
Agent (Jordan): I'm checking logs and applying updates on my end.
Agent (Jordan): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Jordan): I'm checking logs and applying updates on my end.
Agent (Jordan): You're all set. Anything else I can do for you today?
Customer: Thanks, that fixed it."
C354239375,San Francisco,CA,Billing & Payments,Refund Request,399,Callback scheduled,"Agent (Morgan): You're speaking with Morgan from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from San Francisco, CA. I was promised a credit that hasn't posted.
Agent (Morgan): We can expedite shipping on a replacement.
Customer: That makes sense. What should I try next?
Agent (Morgan): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Morgan): We’ll follow up once we have an update.
Customer: Okay, I'll wait for the update."
C666206863,Spokane,WA,Billing & Payments,Refund Request,980,Callback scheduled,"Agent (Riley): Hi, Riley here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from Spokane, WA. I was promised a credit that hasn't posted.
Agent (Riley): We can expedite shipping on a replacement.
Agent (Riley): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Riley): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Riley): I’ve scheduled a callback for tomorrow to confirm.
Customer: Okay, I'll wait for the update."
C754260216,Omaha,NE,Network & Coverage,Slow Data,1165,Goodwill credit issued,"Agent (Alex): You're speaking with Alex from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Omaha, NE. Speed tests show under 1 Mbps.
Agent (Alex): We can expedite shipping on a replacement.
Agent (Alex): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Alex): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Alex): We’ve applied the fix—thanks for your patience!
Customer: Thanks, that fixed it."
C760527411,Madison,WI,Account & App,App Crash,729,Escalated to Tier 2,"Agent (Jordan): You're speaking with Jordan from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Madison, WI. Payment screen freezes every time.
Agent (Jordan): We can expedite shipping on a replacement.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Jordan): I'm checking logs and applying updates on my end.
Agent (Jordan): I’ve scheduled a callback for tomorrow to confirm.
Customer: Okay, I'll wait for the update."
C780305056,Honolulu,HI,Network & Coverage,5G Not Available,804,Resolved on first call,"Agent (Sam): Thanks for calling T-Mobile, this is Sam. How can I help you today?
Customer: Hi, I'm calling from Honolulu, HI. My 5G icon never shows up.
Agent (Sam): I'll walk you through an eSIM reactivation.
Customer: That makes sense. What should I try next?
Agent (Sam): I'm checking logs and applying updates on my end.
Agent (Sam): I'm checking logs and applying updates on my end.
Agent (Sam): We’ve applied the fix—thanks for your patience!
Customer: Thanks, that fixed it."
C357897497,San Diego,CA,Account & App,Login Issues,843,Goodwill credit issued,"Agent (Alex): Thanks for calling T-Mobile, this is Alex. How can I help you today?
Customer: Hi, I'm calling from San Diego, CA. Locked out of my account.
Agent (Alex): I can help with that. Let me pull up your account.
Agent (Alex): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Alex): I'm checking logs and applying updates on my end.
Agent (Alex): I'm checking logs and applying updates on my end.
Agent (Alex): We’ve applied the fix—thanks for your patience!
Customer: Thanks, that fixed it."
C791625084,Anchorage,AK,Network & Coverage,Slow Data,587,Replacement device shipped,"Agent (Riley): You're speaking with Riley from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Anchorage, AK. Speed tests show under 1 Mbps.
Agent (Riley): I'll escalate to Tier 2 and set a callback window.
Agent (Riley): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Riley): I'm checking logs and applying updates on my end.
Agent (Riley): You're all set. Anything else I can do for you today?
Customer: Thanks, that fixed it."
C126905031,Rapid City,SD,Plans & Features,Hotspot Issues,546,Replacement device shipped,"Agent (Rowan): You're speaking with Rowan from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Rapid City, SD. Hotspot disconnects frequently.
Agent (Rowan): I'm pushing a network refresh; please toggle airplane mode.
Agent (Rowan): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Rowan): You're all set. Anything else I can do for you today?
Customer: Thanks, that fixed it."
C184030330,Columbus,OH,Billing & Payments,Refund Request,447,Resolved on first call,"Agent (Sam): You're speaking with Sam from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Columbus, OH. I was promised a credit that hasn't posted.
Agent (Sam): I can help with that. Let me pull up your account.
Agent (Sam): I'm checking logs and applying updates on my end.
Agent (Sam): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Sam): You're all set. Anything else I can do for you today?
Customer: Thanks, that fixed it."
C030949065,Cleveland,OH,Devices & Orders,Upgrade Status,453,Resolved on first call,"Agent (Rowan): Hi, Rowan here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from Cleveland, OH. Where's my upgrade order now?
Agent (Rowan): I'll escalate to Tier 2 and set a callback window.
Agent (Rowan): I'm checking logs and applying updates on my end.
Agent (Rowan): I'm checking logs and applying updates on my end.
Agent (Rowan): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Rowan): We’ll follow up once we have an update.
Customer: Okay, I'll wait for the update."
C084843316,Memphis,TN,Network & Coverage,No Service,1478,Resolved after escalation,"Agent (Morgan): Thanks for calling T-Mobile, this is Morgan. How can I help you today?
Customer: Hi, I'm calling from Memphis, TN. My phone shows no bars at home.
Agent (Morgan): We can expedite shipping on a replacement.
Agent (Morgan): I'm checking logs and applying updates on my end.
Agent (Morgan): I'm checking logs and applying updates on my end.
Agent (Morgan): I'm checking logs and applying updates on my end.
Agent (Morgan): We’ll follow up once we have an update.
Customer: Okay, I'll wait for the update."
C922006236,Rapid City,SD,Network & Coverage,Slow Data,1478,Resolved on first call,"Agent (Parker): You're speaking with Parker from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Rapid City, SD. My data is crawling at peak times.
Agent (Parker): I'll walk you through an eSIM reactivation.
Agent (Parker): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Parker): I'm checking logs and applying updates on my end.
Agent (Parker): You're all set. Anything else I can do for you today?
Customer: Thanks, that fixed it."
C865011724,Indianapolis,IN,Plans & Features,Voicemail,728,Resolved on first call,"Agent (Hayden): Hi, Hayden here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from Indianapolis, IN. I can't set up my voicemail greeting.
Agent (Hayden): I'll escalate to Tier 2 and set a callback window.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Hayden): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it."
C110922160,Boston,MA,Network & Coverage,5G Not Available,1394,Resolved on first call,"Agent (Alex): You're speaking with Alex from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Boston, MA. My 5G icon never shows up.
Agent (Alex): I can help with that. Let me pull up your account.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Alex): I'm checking logs and applying updates on my end.
Agent (Alex): I'm checking logs and applying updates on my end.
Agent (Alex): I'm checking logs and applying updates on my end.
Agent (Alex): You're all set. Anything else I can do for you today?
Customer: Thanks, that fixed it."
